CLIENT_SUBCATEGORY,CLIENT_CATEGORY,GDW_SUBCAT,GDW_CAT,DIRECT_INDIRECT,INDUSTRY,SUM(TOTAL_AMOUNT)
Equipment Acquisition,Equipment,EQUIPMENT,CONSTRUCTION & EQUIPMENT,,Aerospace & Defense,263295021.6
Ocean Freight & Forwarding,Transportation & Logistics,OCEAN FREIGHT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Aerospace & Defense,6415109.161
Natural Gas,Utilities,NATURAL GAS,UTILITIES,,Aerospace & Defense,40949480.63
Fleet Maintenance & Repair,Fleet,FLEET MAINTENANCE & REPAIR,FLEET,,Aerospace & Defense,2046516.875
LTL,Transportation & Logistics,LTL,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Aerospace & Defense,3023155.374
Janitorial Supplies,MRO Supplies,JANITORIAL SUPPLIES,MRO,INDIRECT,Aerospace & Defense,1836444.165
Retirement Fund Contributions,Unaddressable,RETIREMENT FUND CONTRIBUTIONS,UNADDRESSABLE,,Aerospace & Defense,4876972.12
Corporate Insurance,Insurance & Benefits,CORPORATE INSURANCE,CORPORATE,,Aerospace & Defense,33857824.31
PROMOTIONAL PRODUCTS,MARKETING,PROMOTIONAL PRODUCTS,MARKETING,INDIRECT,Custom Software & IT Services,25889634.07
MILEAGE REIMBURSEMENT,TRAVEL,MILEAGE REIMBURSEMENT,FLEET,,Custom Software & IT Services,3626101.99
DATA STORAGE & MANAGEMENT,IT PRODUCTS & SERVICES,COMPUTE & STORAGE HARDWARE,INFORMATION TECHNOLOGY,INDIRECT,Custom Software & IT Services,60771556.44
WATER & SEWER,UTILITIES,WATER & SEWER,UTILITIES,INDIRECT,Custom Software & IT Services,5052990.173
SHIPPING SUPPLIES,PACKING AND SHIPPING SUPPLIES,PACKAGING SUPPLIES,PACKAGING PRODUCTS,,Custom Software & IT Services,67102329.44
ARCHITECTURAL & INTERIOR DESIGN SERVICES,PROFESSIONAL SERVICES,ARCHITECTURE & INTERIOR DESIGN,CONSTRUCTION & EQUIPMENT,,Custom Software & IT Services,18620223.66
SERVICE MANAGEMENT SOFTWARE,IT PRODUCTS & SERVICES,PROJECT & WORK MGMT SOFTWARE,INFORMATION TECHNOLOGY,,Custom Software & IT Services,466217.2487
TRUCKLOAD,TRANSPORTATION & LOGISTICS,TRUCKLOAD,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Chemicals & Related Products,103847914.1
"BARCODES, LABELS & TAGS",PACKING & SHIPPING SUPPLIES,LABELS,PRINT,INDIRECT,Chemicals & Related Products,4961764.664
LAB SUPPLIES,MRO PARTS,LAB SUPPLIES,MEDICAL PRODUCTS/SERVICES,INDIRECT,Chemicals & Related Products,11872204.73
REGULATORY COMPLIANCE,PROFESSIONAL SERVICES,EMPLOYER COMPLIANCE SERVICES,HR,INDIRECT,Chemicals & Related Products,2640826.274
BUILDING MATERIALS,MRO PARTS,BUILDING MATERIALS,MRO,INDIRECT,Chemicals & Related Products,2264655.715
"DRUMS, TOTES & PAILS",PACKING & SHIPPING SUPPLIES,"DRUMS, TOTES & PAILS",PACKAGING PRODUCTS,INDIRECT,Chemicals & Related Products,33441488.63
GASES,RAW MATERIALS,INDUSTRIAL GASES,MRO,DIRECT,Chemicals & Related Products,47721.86393
UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED,,Medical & Surgical Hospitals,10616380.09
DENTAL SUPPLIES,MEDICAL & DENTAL,DENTAL SUPPLIES,DENTAL PRODUCTS / SERVICES,INDIRECT,Federal,2104665.35
BI & DATA ANALYTICS SOFTWARE,INFORMATION TECHNOLOGY,BI & DATA ANALYTICS SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Business Services,146500.27
HR SERVICES,HR,HR SERVICES,HR,INDIRECT,Business Services,1974278.52
General Consulting,Professional Services,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,,Aerospace & Defense,60424755.93
OFFICE EQUIPMENT,INFORMATION TECHNOLOGY,OFFICE EQUIPMENT,INFORMATION TECHNOLOGY,INDIRECT,Chemicals & Related Products,2323738.622
LAB SUPPLIES,MRO,LAB SUPPLIES,MEDICAL PRODUCTS/SERVICES,INDIRECT,Industrial Manufacturing,127123.2035
Store Supplies,Retail,STORE SUPPLIES,STORE OPERATIONS,INDIRECT,Consumer Packaged Goods (CPG),32673377.69
Facility / Property Rent,Unaddressable,FACILITY / PROPERTY RENT,REAL ESTATE & FACILITIES,INDIRECT,Consumer Packaged Goods (CPG),1887627167
Customs & Duties,Supply Chain,CUSTOMS BROKERAGE,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Consumer Packaged Goods (CPG),155423542.5
Courier,Supply Chain,COURIER SERVICES,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Consumer Packaged Goods (CPG),92922849.45
Packaging Supplies,Supply Chain,PACKAGING SUPPLIES,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Consumer Packaged Goods (CPG),42263270.92
Financial Research,Corporate,FINANCIAL & MARKET DATA,CORPORATE,INDIRECT,Consumer Packaged Goods (CPG),10781516.46
Company Car Leasing,HR,FLEET MANAGEMENT & LEASING,FLEET,INDIRECT,Consumer Packaged Goods (CPG),7334583.061
Public Relations Agencies,Marketing,PUBLIC RELATIONS AGENCIES,MARKETING,INDIRECT,Consumer Packaged Goods (CPG),62992378.97
Technology Staffing,HR,IT STAFFING,INFORMATION TECHNOLOGY,INDIRECT,Consumer Packaged Goods (CPG),25907954.62
Trailer Rental & Leasing,Supply Chain,TRAILER RENTAL & LEASING,FLEET,INDIRECT,Consumer Packaged Goods (CPG),4756613.451
POS Equipment & Licenses,Retail,POINT OF SALE EQUIPMENT,INFORMATION TECHNOLOGY,INDIRECT,Consumer Packaged Goods (CPG),7850653.181
CORPORATE SUBSCRIPTIONS,CORPORATE,DUES & SUBSCRIPTIONS,CORPORATE,INDIRECT,Insurance,61101395.54
Freight Broker / Auditor,Transportation & Logistics,FREIGHT AUDIT & PAYMENT,TRANSPORTATION & LOGISTICS,,Education,26141184.93
Wireless,Telecommunications,WIRELESS,INFORMATION TECHNOLOGY,INDIRECT,Education,58859679.01
Flooring & Carpeting,Facilities Management & Maintenance,FLOORING,CONSTRUCTION & EQUIPMENT,INDIRECT,Education,24559887.92
Electronic Payment Processing,Administrative Products & Services,CREDIT CARD PROCESSING,CORPORATE,INDIRECT,Education,33106508.15
IT Help Desk,IT Products & Services,IT INFRASTRUCTURE SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Education,1959359.98
Sponsorships,Marketing,SPONSORSHIPS,MARKETING,INDIRECT,Education,37464328.43
Advisory & Management Consulting: Operations Consulting,Advisory & Management Consulting,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Pharmaceuticals,54348588.65
Full Service Marketing Agencies: Marketing Strategy Services,Sales & Marketing,ADVERTISING AGENCIES,MARKETING,INDIRECT,Pharmaceuticals,6029851.2
IT Infrastructure,IT,NETWORK INFRASTRUCTURE,INFORMATION TECHNOLOGY,INDIRECT,Retail,121164547.7
Marketing Technology,Marketing,MAR TECH,MARKETING,INDIRECT,Retail,27678218.64
Commercial Print,Commercial Print & Direct Mail,COMMERCIAL PRINT,PRINT,INDIRECT,Retail,41717152.47
Data Storage & Management,IT,COMPUTE & STORAGE HARDWARE,INFORMATION TECHNOLOGY,INDIRECT,Retail,28947541.16
Dues & Subscriptions,Administrative,DUES & SUBSCRIPTIONS,CORPORATE,,Retail,9620718.722
Environmental Consulting,Professional Services,ENVIRONMENTAL CONSULTING,PROFESSIONAL SERVICES,,Retail,5779144.88
Event Planning & Production Agencies,Marketing,EVENTS & CONFERENCES,MARKETING,INDIRECT,Retail,14388075.01
Corporate Insurance,Finance & Risk,CORPORATE INSURANCE,CORPORATE,INDIRECT,Retail,115497223.3
Marketing Consulting,Marketing,ADVERTISING AGENCIES,MARKETING,INDIRECT,Retail,2338571.02
"WINDOWS, POP-UP, POP-IN",VISUAL MERCHANDISING,PROPS & DÉCOR,MARKETING,INDIRECT,Consumer Packaged Goods (CPG),95948047.47
GENERAL INDUSTRIAL SUPPLIES,REAL ESTATE,GENERAL INDUSTRIAL SUPPLIES,MRO,INDIRECT,Consumer Packaged Goods (CPG),19617892.47
AIR FREIGHT,TRANSPORTATION & LOGISTICS,AIR FREIGHT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Consumer Packaged Goods (CPG),22173984.97
VERTICAL TRANSPORT,REAL ESTATE,VERTICAL TRANSPORT,REAL ESTATE & FACILITIES,INDIRECT,Consumer Packaged Goods (CPG),755536.5942
LUBRICANTS & OILS,MRO/DIRECT SUPPLIES,LUBRICANTS & OILS,MRO,INDIRECT,Industrial Manufacturing,9247192.269
HOTELS,TRAVEL,HOTELS,TRAVEL,INDIRECT,Industrial Manufacturing,2419062.568
NETWORK INFRASTRUCTURE,INFORMATION TECHNOLOGY,NETWORK INFRASTRUCTURE,INFORMATION TECHNOLOGY,INDIRECT,Industrial Manufacturing,699878.6532
WEB DESIGN,MARKETING,WEB DESIGN,MARKETING,INDIRECT,Industrial Manufacturing,95797.61
ENGINEERING CONSTRUCTION SERVICES,CONSTRUCTION,ENGINEERING CONSTRUCTION SERVICES,CONSTRUCTION & EQUIPMENT,INDIRECT,Industrial Manufacturing,2890280.229
UNION CONTRIBUTIONS,UNADDRESSABLE,UNION CONTRIBUTIONS,UNADDRESSABLE,UNADDRESSABLE,Industrial Manufacturing,428852.4905
SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,SUPPLY CHAIN SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Industrial Manufacturing,2309991.081
COMPUTE & STORAGE HARDWARE,INFORMATION TECHNOLOGY,COMPUTE & STORAGE HARDWARE,INFORMATION TECHNOLOGY,INDIRECT,Industrial Manufacturing,1420056.013
CORPORATE INSURANCE,CORPORATE,CORPORATE INSURANCE,CORPORATE,INDIRECT,Industrial Manufacturing,67120517.62
"DRUMS, TOTES & PAILS",PACKAGING PRODUCTS,"DRUMS, TOTES & PAILS",PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Industrial Manufacturing,260286.39
PROJECT & WORK MGMT SOFTWARE,TECHNOLOGY,PROJECT & WORK MGMT SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Business Services,17971.97
DIVIDEND PAYMENTS,UNADDRESSABLE,DIVIDEND PAYMENTS,UNADDRESSABLE,UNADDRESSABLE,Business Services,39427052.99
FLUID POWER & PNEUMATICS,MRO,FLUID POWER & PNEUMATICS,MRO,INDIRECT,Food and Beverage,85203225.71
ROOFING,FACILITIES,ROOFING,REAL ESTATE & FACILITIES,INDIRECT,Food and Beverage,26925555.12
VENDING SERVICE,FACILITIES,VENDING,REAL ESTATE & FACILITIES,INDIRECT,Food and Beverage,2689397.494
BARCODES & RFID,PACKAGING & SHIPPING SUPPLIES,BARCODE PRINTERS & SCANNERS,INFORMATION TECHNOLOGY,LOGISTICS & PACKAGING,Food and Beverage,392726.24
WIRELESS,TECHNOLOGY,WIRELESS,INFORMATION TECHNOLOGY,INDIRECT,Food and Beverage,13984457.62
FLOORING,FACILITIES,FLOORING,CONSTRUCTION & EQUIPMENT,INDIRECT,Food and Beverage,5477011.59
MEALS & ENTERTAINMENT,TRAVEL,MEALS & ENTERTAINMENT,TRAVEL,INDIRECT,Energy & Utilities,2102206.744
TAXES & FEES,UNADDRESSABLE,TAXES & FEES,UNADDRESSABLE,,Energy & Utilities,145724860.7
EMPLOYEE COMPENSATION & REIMBURSEMENT,UNADDRESSABLE,EMPLOYEE COMPENSATION & REIMBURSEMENT,UNADDRESSABLE,UNADDRESSABLE,Energy & Utilities,10685383.8
DEBRIS/ROADWORK CLEANING,SUBCONTRACTED SERVICES,INDUSTRIAL CLEANING,REAL ESTATE & FACILITIES,INDIRECT,Energy & Utilities,7563079.34
BUILDING MATERIALS,MRO,BUILDING MATERIALS,MRO,INDIRECT,Energy & Utilities,852324.98
CRANES & HOISTS,DIRECT MATERIALS & EQUIPMENT,CRANES & HOISTS,MATERIAL HANDLING EQUIPMENT,DIRECT,Energy & Utilities,92460.14
FIRE & LIFE SAFETY,REAL ESTATE & FACILITIES,FIRE & LIFE SAFETY,REAL ESTATE & FACILITIES,INDIRECT,Energy & Utilities,784351.7911
SOFTWARE,INFORMATION TECHNOLOGY,SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Drug Stores & Pharmacies,69482686.52
LIFT TRUCKS,MRO,LIFT TRUCKS,MATERIAL HANDLING EQUIPMENT,INDIRECT,Drug Stores & Pharmacies,2510569.83
SUNDRIES,CORPORATE,SUNDRIES,CORPORATE,INDIRECT,Drug Stores & Pharmacies,420044.75
INSURANCE & BENEFITS,HR,INSURANCE & BENEFITS,HR,INDIRECT,Drug Stores & Pharmacies,127308801.9
LEGAL SERVICES,PROFESSIONAL SERVICES,LEGAL SERVICES,PROFESSIONAL SERVICES,INDIRECT,Drug Stores & Pharmacies,77662429.55
ROOFING,REAL ESTATE & FACILITIES,ROOFING,REAL ESTATE & FACILITIES,INDIRECT,Drug Stores & Pharmacies,10670786.88
TOLLS,TRAVEL,TOLLS,TRAVEL,INDIRECT,Drug Stores & Pharmacies,89246.1
DOORS,CONSTRUCTION & EQUIPMENT,DOORS,BUILDING MATERIALS,INDIRECT,Drug Stores & Pharmacies,7176154.89
LOCKSMITH,REAL ESTATE & FACILITIES,LOCKSMITH,REAL ESTATE & FACILITIES,INDIRECT,Drug Stores & Pharmacies,258266.77
PRINTING & SHIPPING CENTER,CORPORATE,PRINTING & SHIPPING CENTER,CORPORATE,INDIRECT,Drug Stores & Pharmacies,23575.32
FREIGHT AUDIT & PAYMENT,TRANSPORTATION & LOGISTICS,FREIGHT AUDIT & PAYMENT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Drug Stores & Pharmacies,68456272.39
IN-STORE MUSIC,INFORMATION TECHNOLOGY,IN-STORE MUSIC,STORE OPERATIONS,INDIRECT,Drug Stores & Pharmacies,661905.14
WORKERS COMPENSATION INSURANCE,CORPORATE,WORKERS COMPENSATION INSURANCE,CORPORATE,INDIRECT,Drug Stores & Pharmacies,2773439.04
COMPUTE & STORAGE HARDWARE,INFORMATION TECHNOLOGY,COMPUTE & STORAGE HARDWARE,INFORMATION TECHNOLOGY,INDIRECT,Drug Stores & Pharmacies,39854.97
Risk Advisory,Finance & Risk,FINANCIAL & RISK ADVISORY,PROFESSIONAL SERVICES,,Retail,1203299.18
CORPORATE HOUSING,TRAVEL,CORPORATE HOUSING,TRAVEL,INDIRECT,Energy & Utilities,213468.55
INVESTOR RELATIONS SERVICES,CORPORATE,INVESTOR RELATIONS SERVICES,CORPORATE,INDIRECT,Drug Stores & Pharmacies,623485.95
Voice & Data Services,Telecommunications,VOICE & DATA SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Healthcare,91091366.8
Janitorial Services,Facilities Management & Maintenance,JANITORIAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Healthcare,34003576.03
Small Parcel Shipping,Transportation & Logistics,SMALL PARCEL SHIPPING,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Healthcare,33770792.56
Shipping Supplies,Administrative Products & Services,PACKAGING SUPPLIES,PACKAGING PRODUCTS,INDIRECT,Healthcare,6122153.06
Plumbing,Facilities Management & Maintenance,PLUMBING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Healthcare,872180.95
IT Consulting,IT Products & Services,IT CONSULTING,INFORMATION TECHNOLOGY,,Healthcare,33690655.78
Compliance Services,Professional Services,EMPLOYER COMPLIANCE SERVICES,HR,,Healthcare,1669356.58
Barcode & Labels,Packing and Shipping Supplies,LABELS,PRINT,INDIRECT,Healthcare,44120.37
Laboratory Equipment Maintenance & Repair,Laboratory Supplies & Services,EQUIPMENT MAINTENANCE & REPAIR,MRO,DIRECT,Education,30303285.05
"Flowers, Gifts & Misc",Administrative Products & Services,FLOWERS & GIFTS,CORPORATE,,Education,8823092.93
Patent & Copyright Legal Services,Professional Services,LEGAL SERVICES,PROFESSIONAL SERVICES,INDIRECT,Education,261425709.9
Investor Relations Services,Professional Services,INVESTOR RELATIONS SERVICES,CORPORATE,INDIRECT,Education,8388449.7
Elevator/Escalator Services,Facilities Management & Maintenance,VERTICAL TRANSPORT,REAL ESTATE & FACILITIES,INDIRECT,Education,40567695.73
"Adhesives, Sealants & Tape",MRO Supplies,ADHESIVES,POLYMERS & RESINS,INDIRECT,Education,103689.36
Fleet - Vehicles Acquisition,Vehicles & Equipment,FLEET MANAGEMENT & LEASING,FLEET,INDIRECT,Education,3966564.31
Bus Services,Travel,CHARTER BUS,TRAVEL,INDIRECT,Education,9047775.65
General Contractors,Construction Services,BUILDING CONSTRUCTION,CONSTRUCTION & EQUIPMENT,INDIRECT,Finance,243236219
Office Supplies,Office Supplies & Furniture,OFFICE SUPPLIES,CORPORATE,INDIRECT,Finance,20736203.93
Recruitment Services,Recruitment & Staffing,RECRUITING,HR,INDIRECT,Finance,41395215.55
Promotional Products,Marketing Services,PROMOTIONAL PRODUCTS,MARKETING,,Finance,1200863.84
FLEET VEHICLE RENTAL,FLEET,FLEET MANAGEMENT & LEASING,FLEET,INDIRECT,Holding Companies,22984891.08
INVESTOR RELATIONS SERVICES,PROFESSIONAL SERVICES,INVESTOR RELATIONS SERVICES,CORPORATE,,Holding Companies,100836017.2
WAREHOUSING,TRANSPORTATION & LOGISTICS,WAREHOUSING,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Holding Companies,4399079.163
EXECUTIVE SEARCH,HR,RECRUITING,HR,INDIRECT,Holding Companies,23967246.22
EMPLOYEE ASSISTANCE PROGRAMS,HR,EMPLOYEE ASSISTANCE PROGRAMS,HR,INDIRECT,Holding Companies,428185.1736
CREDIT RATINGS AGENCIES,CORPORATE,CREDIT RATINGS AGENCIES,CORPORATE,INDIRECT,Insurance,60200024.61
PROFESSIONAL CONTINGENT LABOR,PROFESSIONAL SERVICES,CONTINGENT LABOR,HR,INDIRECT,Insurance,166176670.8
BENEFITS ADMINISTRATION,HR,THIRD PARTY ADMINISTRATOR,HR,INDIRECT,Insurance,395017654.6
DIGITAL MARKETING,MARKETING,DIGITAL MEDIA BUYING & PLANNING,MARKETING,INDIRECT,Insurance,124476223.1
HR CONSULTING,HR,HR SERVICES,HR,INDIRECT,Insurance,6222509.2
PRINTING & SHIPPING CENTER,CORPORATE,PRINTING & SHIPPING CENTER,CORPORATE,INDIRECT,Insurance,1929432.659
ENVIRONMENTAL CONSULTING,PROFESSIONAL SERVICES,ENVIRONMENTAL CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Insurance,25916410.72
Architecture Services / Interior Design,Real Estate & Facilities,ARCHITECTURE & INTERIOR DESIGN,CONSTRUCTION & EQUIPMENT,INDIRECT,Business Services,41352879.12
Marketing Software,Technology,MAR TECH,MARKETING,INDIRECT,Business Services,14136450.64
Cloud Services,Technology,CLOUD SERVICES,INFORMATION TECHNOLOGY,,Business Services,4289497.115
Internal Transfer,Unaddressable,INTERNAL TRANSFERS,UNADDRESSABLE,UNADDRESSABLE,Business Services,2049083307
TAX SERVICES,FINANCIAL SERVICES,TAX SERVICES,PROFESSIONAL SERVICES,INDIRECT,Real Estate,3517053.16
SIGNAGE,SIGNAGE,SIGNAGE,REAL ESTATE & FACILITIES,INDIRECT,Real Estate,6904270.68
FLEET PARTS & EQUIPMENT,FLEET,FLEET PARTS & EQUIPMENT,FLEET,INDIRECT,Real Estate,43984.51
CONTINGENT LABOR,HR SERVICES,CONTINGENT LABOR,HR,INDIRECT,Real Estate,14973326.49
INTERIOR PLANTS,PROPERTY OPERATIONS,INTERIOR PLANTS,REAL ESTATE & FACILITIES,INDIRECT,Real Estate,48498.16
EQUIPMENT RENTAL,MRO,EQUIPMENT RENTAL,MRO,INDIRECT,Real Estate,7818328.241
APP DEV TOOLS,SOFTWARE,APP DEV TOOLS,INFORMATION TECHNOLOGY,INDIRECT,Real Estate,456.56
UTILITIES,FACILITIES,ELECTRICITY,UTILITIES,INDIRECT,Consumer Packaged Goods (CPG),39837894.38
FLOORING,STORE DEVELOPMENT & CREATIVE SERVICES,FLOORING,CONSTRUCTION & EQUIPMENT,INDIRECT,Consumer Packaged Goods (CPG),36186469.1
SALES/ SPONSORSHIP/ PROMOTION,MARKETING & ADVERTISING,PROMOTIONAL PRODUCTS,MARKETING,INDIRECT,Consumer Packaged Goods (CPG),131357937.2
IT CONSULTING,IT PRODUCTS & SERVICES,IT CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Business Services,88482455.41
WATER & SEWER,UTILITIES & ENERGY,WATER & SEWER,UTILITIES,INDIRECT,Business Services,18992053.08
OFFICE SUPPLIES,STORE OPERATIONS,OFFICE SUPPLIES,CORPORATE,INDIRECT,Retail,22250757.27
OTHER - CONSTRUCTION,REAL ESTATE - CONSTRUCTION,BUILDING CONSTRUCTION,CONSTRUCTION & EQUIPMENT,INDIRECT,Retail,81151667.73
CONSULTING,CORPORATE SERVICES - HR,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Retail,30912508.07
PROPANE,REAL ESTATE - FACILITIES,LUBRICANTS & OILS,MRO,INDIRECT,Retail,9421240.49
GENERAL CONTRACTORS,REAL ESTATE & FACILITIES,BUILDING CONSTRUCTION,CONSTRUCTION & EQUIPMENT,INDIRECT,Real Estate,9033065344
EVENT PLANNING & PRODUCTION AGENCIES,MARKETING,EVENTS & CONFERENCES,MARKETING,,Real Estate,17457562.25
CORPORATE INSURANCE,ADMINISTRATIVE,CORPORATE INSURANCE,CORPORATE,INDIRECT,Real Estate,285630587
WIRELESS,TECHNOLOGY,WIRELESS,INFORMATION TECHNOLOGY,INDIRECT,Real Estate,9034865.861
Water & Sewer,Building Services & Construction,WATER & SEWER,UTILITIES,INDIRECT,Elderly Care Services,15936050.77
Electronic Security Systems,Building Services & Construction,ELECTRONIC SECURITY,REAL ESTATE & FACILITIES,INDIRECT,Elderly Care Services,2174579.5
CONFERENCES / GROUP BOOKINGS,TRAVEL,EVENTS & CONFERENCES,MARKETING,INDIRECT,Banking,18661020.74
PLUMBING,REAL ESTATE & FACILITIES,PLUMBING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Banking,4910457.09
ACCOUNTING & AUDITING,FINANCE & RISK,ACCOUNTING & AUDITING,PROFESSIONAL SERVICES,INDIRECT,Banking,113082155.4
CONTINGENT LABOR,HR,CONTINGENT LABOR,HR,INDIRECT,Banking,1201846506
GENERAL FACILITIES SUPPLIES,REAL ESTATE & FACILITIES,INTEGRATED FACILITIES MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Banking,3687604.42
CONSTRUCTION,REAL ESTATE & FACILITIES,BUILDING CONSTRUCTION,CONSTRUCTION & EQUIPMENT,INDIRECT,Pulp & Paper,34029214.25
INDUSTRIAL GASES,MRO,INDUSTRIAL GASES,MRO,INDIRECT,Pulp & Paper,4064720.815
ENVIRONMENTAL CONSULTING,PROFESSIONAL SERVICES,ENVIRONMENTAL CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Pulp & Paper,10353404.51
HVAC/R,REAL ESTATE & FACILITIES,HVAC/R,REAL ESTATE & FACILITIES,INDIRECT,Pulp & Paper,19402516.65
APPLICATION DEVELOPMENT & SUPPORT,TECHNOLOGY,IT CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Pulp & Paper,695791.6
CORES & TUBES,PACKAGING & SHIPPING SUPPLIES,CORES & TUBES,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Pulp & Paper,12668100.6
POLYBAGS,PACKAGING & SHIPPING SUPPLIES,FLEXIBLE PACKAGING,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Pulp & Paper,3454148.4
EXECUTIVE SEARCH,HR,RECRUITING,HR,INDIRECT,Pulp & Paper,1604013.24
"DRUMS, TOTES & PAILS",PACKAGING & SHIPPING SUPPLIES,"DRUMS, TOTES & PAILS",PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Pulp & Paper,2191979.68
COPY SERVICES,CORPORATE,PRINTING & SHIPPING CENTER,CORPORATE,INDIRECT,Pulp & Paper,153650.21
AUTO RENTAL,TRAVEL,AUTO RENTAL,TRAVEL,INDIRECT,Technology,680858.9656
ACQUISITION FEES,UNADDRESSABLE,FRANCHISE & ACQUISITION FEES,UNADDRESSABLE,,Technology,7151325.46
DOCK DOORS & EQUIPMENT,REAL ESTATE & FACILITIES,DOCK DOORS & EQUIPMENT,REAL ESTATE & FACILITIES,INDIRECT,Technology,4706
REAL ESTATE TRANSACTION MANAGEMENT,REAL ESTATE & FACILITIES,TRANSACTION MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Technology,10500
AV & DISPLAY TECHNOLOGY,TECHNOLOGY,AV & DISPLAY TECHNOLOGY,INFORMATION TECHNOLOGY,INDIRECT,Technology,332885.85
ADVERTISING AGENCIES,MARKETING,ADVERTISING AGENCIES,MARKETING,INDIRECT,Food & Beverage,41442915.08
PROPANE,MRO,PROPANE,CHEMICALS,INDIRECT,Food & Beverage,11602019.87
OEM PARTS / SPARES,MRO,OEM PARTS / SPARES,MRO,INDIRECT,Food & Beverage,2664300.153
EMPLOYEE RECOGNITION,HR,EMPLOYEE RECOGNITION,HR,INDIRECT,Food & Beverage,2747974.41
ELECTRICAL SERVICES,REAL ESTATE & FACILITIES,ELECTRICAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Food & Beverage,2171888.57
AIR COMPRESSORS,REAL ESTATE & FACILITIES,AIR COMPRESSORS,REAL ESTATE & FACILITIES,INDIRECT,Food & Beverage,784176.3724
PUMP & MOTOR REPAIRS,MRO,PUMP & MOTOR REPAIRS,MRO,INDIRECT,Food & Beverage,647440
FREELANCERS,MARKETING,FREELANCERS,MARKETING,INDIRECT,Food & Beverage,423798.5881
SPONSORSHIPS,MARKETING,SPONSORSHIPS,MARKETING,,Food & Beverage,439166.3089
"RACKS, WIRING & CABLES",INFORMATION TECHNOLOGY,"RACKS, WIRING & CABLES",INFORMATION TECHNOLOGY,INDIRECT,Food & Beverage,88089.54476
POINT OF SALE EQUIPMENT,INFORMATION TECHNOLOGY,POINT OF SALE EQUIPMENT,INFORMATION TECHNOLOGY,INDIRECT,Food & Beverage,736802.89
AIR TRAVEL,TRAVEL & ENTERTAINMENT,AIRFARE,TRAVEL,INDIRECT,Consumer Packaged Goods (CPG),65661519.25
INTERMODAL,SUPPLY CHAIN - DOMESTIC LOGISTICS,INTERMODAL,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Retail,83272045.34
FLEET VEHICLE ACQUISITION,CORPORATE SERVICES - FLEET,FLEET MANAGEMENT & LEASING,FLEET,INDIRECT,Retail,1643694.72
ARMORED TRUCK SERVICES,BANKING OPERATIONS,ARMORED TRANSPORT,BANKING SERVICES,DIRECT,Banking,86042226.41
EVENTS-LODGING,TRAVEL & ENTERTAINMENT,HOTELS,TRAVEL,INDIRECT,Retail,30668598.05
EVENTS-DECOR,MARKETING,PROPS & DÉCOR,MARKETING,INDIRECT,Retail,6215709.934
CAFETERIA,BUILDING & FACILITIES MANAGEMENT,FOOD SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Retail,36998301.05
MANUFACTURING EQUIPMENT,OPERATIONS EQUIPMENT,EQUIPMENT,CONSTRUCTION & EQUIPMENT,INDIRECT,Retail,19662982.96
BACKGROUND INVESTIGATION SERVICES,HUMAN RESOURCES,BACKGROUND CHECKS & DRUG TESTING,HR,INDIRECT,Retail,1637466.881
