CLIENT_SUBCATEGORY,CLIENT_CATEGORY,GDW_SUBCAT,GDW_CAT,DIRECT_INDIRECT,INDUSTRY,SUM(TOTAL_AMOUNT)
BD/STRATEGY - CONSULTING / PROFESSIONAL SERVICES,CONSULTING / PROFESSIONAL SERVICES,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Pharmaceuticals,32756499.11
R&D - CONTRACTORS / TEMP LABOR,CONTRACTORS / TEMP LABOR,CONTINGENT LABOR,HR,INDIRECT,Pharmaceuticals,12438958.77
DUES & SUBSCRIPTIONS,FINANCE,DUES & SUBSCRIPTIONS,CORPORATE,INDIRECT,Pharmaceuticals,2045229.48
IT OTHER,INFORMATION TECHNOLOGY,END USER DEVICES,INFORMATION TECHNOLOGY,INDIRECT,Pharmaceuticals,1271775.43
UNIFORM & LINEN SERVICE,SUPPLY CHAIN/MANUFACTURING,UNIFORM & LINEN SERVICE,MRO,INDIRECT,Pharmaceuticals,1044728.45
CONTROLS,MRO,CONTROL & AUTOMATION,MRO,INDIRECT,Industrial Manufacturing,838756.6784
VALVE,MRO,INDUSTRIAL PVF,MRO,INDIRECT,Industrial Manufacturing,1337481.7
FULFILLMENT,TRANSPORTATION & LOGISTICS,FULFILLMENT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Industrial Manufacturing,984734.96
MAR TECH,MARKETING,MAR TECH,MARKETING,INDIRECT,Industrial Manufacturing,7470.87
PUBLIC STORAGE,ADMINISTRATIVE SERVICES,PUBLIC STORAGE,CORPORATE,INDIRECT,Medical & Surgical Hospitals,9715
MAILERS & PACKING ENVELOPES,FACILITIES AND SUPPORT SERVICES,MAILERS & PACKING ENVELOPES,PACKAGING PRODUCTS,INDIRECT,Medical & Surgical Hospitals,3050.56
BREAKROOM SERVICES,FACILITIES AND SUPPORT SERVICES,BREAKROOM SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Medical & Surgical Hospitals,2474586.96
AFFILIATES,AFFILIATE MARKETING,AFFILIATES,MARKETING,INDIRECT,Broadcast Media,27867.04
Disaster Recovery,IT Products & Services,DISASTER RECOVERY,INFORMATION TECHNOLOGY,INDIRECT,Communications,1314967.63
PROPANE,UTILITIES,PROPANE,CHEMICALS,INDIRECT,Energy & Utilities,10501.44
STOCK MEDIA,MARKETING,STOCK MEDIA,MARKETING,INDIRECT,Energy & Utilities,52.11
CRATES & PALLETS,MRO & PACKAGING,PALLETS & CRATES,PACKAGING PRODUCTS,INDIRECT,Industrial Manufacturing,1641105.348
PARTS / SPARES,MRO & PACKAGING,OEM PARTS / SPARES,MRO,INDIRECT,Industrial Manufacturing,1944912.318
CHEMICALS,DIRECT PRODUCTS & SERVICES,CHEMICALS/REAGENTS,MRO,DIRECT,Industrial Manufacturing,54886541.9
MACHINED & FABRICATED PARTS,DIRECT PRODUCTS & SERVICES,METAL FABRICATION,METALWORKING,DIRECT,Industrial Manufacturing,19464175.16
VENDING SERVICE,REAL ESTATE & FACILITIES,VENDING,REAL ESTATE & FACILITIES,INDIRECT,Industrial Manufacturing,32778.50239
OTHER INSURANCE & BENEFITS,HR,INSURANCE & BENEFITS,HR,INDIRECT,Industrial Manufacturing,2194555.37
FLEET MAINTENANCE & REPAIR,TRANSPORTATION & LOGISTICS,FLEET MAINTENANCE & REPAIR,FLEET,LOGISTICS & PACKAGING,Industrial Manufacturing,1041010.364
LUBRICANTS & OILS,MRO & PACKAGING,LUBRICANTS & OILS,MRO,INDIRECT,Industrial Manufacturing,2552866.142
APPLICATION DEVELOPMENT & SUPPORT,INFORMATION TECHNOLOGY,IT CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Industrial Manufacturing,454205.9928
DISPLAYS / MERCHANDISING,CORPORATE,SIGNAGE & GRAPHICS,PRINT,INDIRECT,Industrial Manufacturing,433236.4061
IT INFRASTRUCTURE SERVICES,INFORMATION TECHNOLOGY,IT INFRASTRUCTURE SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Industrial Manufacturing,90988.53574
EXHIBITOR FEES,MARKETING,EXHIBITOR FEES,MARKETING,INDIRECT,Industrial Manufacturing,43456.31684
DENTAL PREMIUMS,INSURANCE & BENEFITS,DENTAL INSURANCE,HR,INDIRECT,Business Services,15021647.28
UNION CONTRIBUTIONS,HR,UNION CONTRIBUTIONS,UNADDRESSABLE,UNADDRESSABLE,Business Services,38000
NUTS,"FOOD, BEVERAGE, & NUTRITION",DRY GOODS,FOOD AND INGREDIENTS,DIRECT,Pharmaceuticals,299706.5
CREDIT REPORTING AGENCIES,CORPORATE,CREDIT REPORTING AGENCIES,CORPORATE,INDIRECT,Pharmaceuticals,4843.72
ENVIRONMENTAL SERVICES (EVS),REAL ESTATE & FACILITIES,ENVIRONMENTAL SERVICES (EVS),REAL ESTATE & FACILITIES,INDIRECT,Pharmaceuticals,247056.52
VENDING,REAL ESTATE & FACILITIES,VENDING,REAL ESTATE & FACILITIES,INDIRECT,Holding Companies & Conglomerates,4264.08
JANITORIAL SUPPLIES,MRO,JANITORIAL SUPPLIES,MRO,INDIRECT,Holding Companies & Conglomerates,6488.36
